structCharacterDataROMEntry 1,HPOrAutolevel,STR,MAG,SKL,SPD,DEF,CON,LUK,MOV,MovementStars,CritCoefficient,HPGrowth,STRGrowth,MAGGrowth,SKLGrowth,SPDGrowth,DEFGrowth,CONGrowth,LUKGrowth,MOVGrowth,SwordRank,LanceRank,AxeRank,BowRank,StaffRank,FireRank,ThunderRank,WindRank,LightRank,DarkRank,SwordMod,LanceMod,AxeMod,BowMod,StaffMod,FireMod,ThunderMod,WindMod,LightMod,DarkMod,Gender,Skills1,Skills2,Skills3,Class,LeadershipStars,MapSprite,PortraitID
Leif,4,0,0,0,2,1,0,6,0,5,2,70,35,10,35,40,25,15,40,3,RankD,None,None,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,Skill2Adept,None,Lord,0,LordMapSprite,LeifPortrait
Finn,8,5,1,5,7,4,2,5,0,0,1,60,35,5,30,35,30,10,45,1,RankE+30,RankC,None,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,Skill2Miracle,None,LanceKnight,0,LanceKnightMapSprite,FinnPortrait
Orsin,7,2,0,3,4,2,3,3,0,0,3,85,30,5,25,35,25,25,55,2,None,None,40,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,None,Skill3Wrath,Fighter,0,FighterMapSprite,OrsinPortrait
Halvan,8,3,0,3,2,3,4,2,0,0,4,80,40,5,20,30,30,30,30,2,None,None,RankE+10,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,Skill2Vantage,None,Fighter,0,FighterMapSprite,HalvanPortrait
Eyvel,8,5,3,10,10,3,3,10,1,10,1,30,15,10,15,10,5,5,25,1,RankC,None,None,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderFemale,None,None,Skill3Immortal,SwordmasterF,0,SwordmasterFMapSprite,EyvelPortrait
Dagdar,15,6,0,6,3,4,5,2,1,5,1,15,10,5,10,10,10,5,30,1,None,None,RankC,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,Skill2Assail,None,Warrior,0,WarriorMapSprite,DagdarPortrait
Ralph,14,6,0,5,6,4,6,6,0,0,1,60,35,5,30,20,35,35,15,1,RankC,None,RankD+40,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,None,None,Hero,0,HeroMapSprite,RalphPortrait
Marty,10,4,0,0,0,3,6,6,0,0,1,90,15,5,10,15,40,75,50,2,None,None,RankE+20,None,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,None,None,Brigand,0,BrigandMapSprite,MartyPortrait
Ronan,2,1,0,0,3,1,1,3,0,15,1,40,15,55,45,55,5,2,20,3,None,None,None,30,None,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderMale,None,Skill2Adept,None,Archer,0,ArcherMapSprite,RonanPortrait
Miranda,3,0,5,1,4,1,0,7,0,0,1,60,5,70,55,70,15,5,35,2,None,None,None,None,None,RankE+35,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderFemale,None,None,Skill3Wrath,WindMageF,0,WindMageFMapSprite,MirandaPortrait
Sapphie,0,0,3,5,5,0,0,9,0,0,1,35,30,60,45,40,3,2,5,0,None,None,None,None,RankD+40,None,None,None,None,None,100,100,100,100,100,100,100,100,100,100,GenderFemale,None,None,None,PriestF,0,PriestFMapSprite,SapphiePortrait
